問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
ルフィの夢は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ルフィの夢は、ゴムゴムの実の能力者として海賊王になることです。",1
ゾロの最終的な目標は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,2,"ゾロは、ミホークを超える世界一の大剣豪になることを目指しています。",1
サンジの夢は何ですか？,海賊王になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,3,"サンジは、幻の海「オールブルー」を見つけることを夢見ています。",1
ナミの目標は何ですか？,世界地図を描くこと,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ナミは、世界中の海の地図を描くことを目標としています。",1
ウソップの夢は何ですか？,勇敢な海の戦士になること,世界一の大剣豪になること,オールブルーを見つけること,世界の全ての財宝を見つけること,1,"ウソップは、父親のような勇敢な海の戦士になることを夢見ています。",1
チョッパーは何の動物ですか？,トナカイ,パンダ,犬,猫,1,"チョッパーは、ヒトヒトの実を食べたトナカイです。",1
ロビンは何の能力者ですか？,ハナハナの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ロビンは、体の好きな場所から花のように手足を生やすことができるハナハナの実の能力者です。",1
フランキーは何を改造していますか？,自分の体,船,武器,家,1,"フランキーは、自分の体をサイボーグに改造しています。",1
ブルックは何の実の能力者ですか？,ヨミヨミの実,ゴムゴムの実,メラメラの実,バラバラの実,1,"ブルックは、一度死んで魂が体に戻るヨミヨミの実の能力者です。",1
ジンベエは何の種族ですか？,魚人,巨人,小人,人魚,1,"ジンベエは、魚人族の元七武海です。",1
ルフィの懸賞金が最初に判明したのはいくらでしたか？,3000万ベリー,1億ベリー,3億ベリー,5億ベリー,1,"ルフィの最初の懸賞金は3000万ベリーでした。",2
ゾロの異名は何ですか？,海賊狩り,黒足,泥棒猫,狙撃の王様,1,"ゾロは「海賊狩りのゾロ」として知られています。",1
サンジの異名は何ですか？,黒足,海賊狩り,泥棒猫,狙撃の王様,1,"サンジは「黒足のサンジ」と呼ばれています。",1
ナミの異名は何ですか？,泥棒猫,海賊狩り,黒足,狙撃の王様,1,"ナミは「泥棒猫のナミ」という異名を持っています。",1
ウソップの異名は何ですか？,狙撃の王様,海賊狩り,黒足,泥棒猫,1,"ウソップは「狙撃の王様そげキング」として知られています。",1
チョッパーの懸賞金が最初に判明したのはいくらでしたか？,50ベリー,1億ベリー,3億ベリー,5億ベリー,1,"チョッパーの最初の懸賞金は50ベリーでした。",2
ロビンの異名は何ですか？,悪魔の子,泥棒猫,黒足,海賊狩り,1,"ロビンは「悪魔の子」と呼ばれています。",1
フランキーの異名は何ですか？,鉄人,泥棒猫,黒足,海賊狩り,1,"フランキーは「鉄人フランキー」と呼ばれています。",1
ブルックの異名は何ですか？,鼻歌,泥棒猫,黒足,海賊狩り,1,"ブルックは「鼻唄のブルック」という異名を持っています。",1
ジンベエの異名は何ですか？,海侠,泥棒猫,黒足,海賊狩り,1,"ジンベエは「海侠のジンベエ」として知られています。",1
ゴムゴムの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"ゴムゴムの実は、体をゴムのように伸ばせる超人系（パラミシア）の悪魔の実です。",1
メラメラの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"メラメラの実は、炎を操る自然系（ロギア）の悪魔の実です。",1
ヤミヤミの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"ヤミヤミの実は、闇を操る自然系（ロギア）の悪魔の実です。",1
ヒトヒトの実は何系能力ですか？,動物系,超人系,自然系,論理系,1,"ヒトヒトの実は、人間になれる動物系（ゾオン）の悪魔の実です。",1
ハナハナの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"ハナハナの実は、体を花のように生やす超人系（パラミシア）の悪魔の実です。",1
ヨミヨミの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"ヨミヨミの実は、一度死んで魂が体に戻る超人系（パラミシア）の悪魔の実です。",1
スベスベの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"スベスベの実は、体を滑らかにする超人系（パラミシア）の悪魔の実です。",1
バラバラの実は何系能力ですか？,超人系,自然系,動物系,論理系,1,"バラバラの実は、体をバラバラにできる超人系（パラミシア）の悪魔の実です。",1
モクモクの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"モクモクの実は、煙を操る自然系（ロギア）の悪魔の実です。",1
ピカピカの実は何系能力ですか？,自然系,超人系,動物系,論理系,1,"ピカピカの実は、光を操る自然系（ロギア）の悪魔の実です。",1
麦わらの一味の船の名前は何ですか？,ゴーイングメリー号,サウザンドサニー号,レッドフォース号,モビーディック号,1,"最初にルフィ達が乗っていた船はゴーイングメリー号です。",1
ルフィの祖父の名前は何ですか？,モンキー・D・ガープ,モンキー・D・ドラゴン,ポートガス・D・エース,モンキー・D・ルフィ,1,"ルフィの祖父は海軍中将モンキー・D・ガープです。",1
ルフィの父親の名前は何ですか？,モンキー・D・ドラゴン,モンキー・D・ガープ,ポートガス・D・エース,モンキー・D・ルフィ,1,"ルフィの父親は革命軍総司令官モンキー・D・ドラゴンです。",1
ルフィの兄の名前は何ですか？,ポートガス・D・エース,モンキー・D・ガープ,モンキー・D・ドラゴン,サボ,1,"ルフィの義兄はポートガス・D・エースです。",1
ルフィのもう一人の義兄の名前は何ですか？,サボ,モンキー・D・ガープ,モンキー・D・ドラゴン,ポートガス・D・エース,1,"ルフィのもう一人の義兄は革命軍参謀総長のサボです。",1
白ひげ海賊団の船の名前は何ですか？,モビーディック号,レッドフォース号,サウザンドサニー号,ゴーイングメリー号,1,"白ひげ海賊団の船はモビーディック号です。",1
シャンクスが船長を務める海賊団の名前は何ですか？,赤髪海賊団,麦わらの一味,白ひげ海賊団,黒ひげ海賊団,1,"シャンクスは赤髪海賊団の船長です。",1
黒ひげ海賊団の船長の名前は何ですか？,マーシャル・D・ティーチ,シャンクス,エドワード・ニューゲート,モンキー・D・ルフィ,1,"黒ひげ海賊団の船長はマーシャル・D・ティーチです。",1
七武海の最初のメンバーは何人でしたか？,7人,5人,3人,10人,1,"王下七武海は、当初7人の海賊で構成されていました。",2
魚人島の王女の名前は何ですか？,しらほし,ヴィヴィ,レベッカ,モモの助,1,"魚人島の王女はしらほし姫です。",1
アラバスタ王国の王女の名前は何ですか？,ネフェルタリ・ビビ,しらほし,レベッカ,モモの助,1,"アラバスタ王国の王女はネフェルタリ・ビビです。",1
ドレスローザの王女の名前は何ですか？,レベッカ,しらほし,ネフェルタリ・ビビ,モモの助,1,"ドレスローザの王女はレベッカです。",1
ワノ国の将軍の名前は何ですか？,光月モモの助,光月おでん,錦えもん,カン十郎,1,"ワノ国の将軍は光月モモの助です。",1
エニエス・ロビーでのロビンの叫びは何ですか？,"生きたい！","自由になりたい！","仲間になりたい！","助けて！",1,"エニエス・ロビーでロビンは「生きたい！」と叫びました。",2
頂上戦争が行われた場所はどこですか？,マリンフォード,エニエス・ロビー,インペルダウン,シャボンディ諸島,1,"頂上戦争はマリンフォードで行われました。",2
インペルダウンの看守長の名前は何ですか？,マゼラン,ハンニャバル,サディちゃん,ドミノ,1,"インペルダウンの看守長はマゼランです。",2
ボン・クレーが使用する悪魔の実は何ですか？,マネマネの実,ドクドクの実,バラバラの実,スベスベの実,1,"ボン・クレーはマネマネの実の能力者です。",2
バギーが使用する悪魔の実は何ですか？,バラバラの実,マネマネの実,ドクドクの実,スベスベの実,1,"バギーはバラバラの実の能力者です。",2
アルビダが使用する悪魔の実は何ですか？,スベスベの実,マネマネの実,ドクドクの実,バラバラの実,1,"アルビダはスベスベの実の能力者です。",2
スモーカーが使用する悪魔の実は何ですか？,モクモクの実,メラメラの実,ピカピカの実,ヒエヒエの実,1,"スモーカーはモクモクの実の能力者です。",2
エネルが使用する悪魔の実は何ですか？,ゴロゴロの実,メラメラの実,ピカピカの実,ヒエヒエの実,1,"エネルはゴロゴロの実の能力者です。",3
青雉（アオキジ）が使用する悪魔の実は何ですか？,ヒエヒエの実,メラメラの実,ピカピカの実,ゴロゴロの実,1,"青雉はヒエヒエの実の能力者です。",2
黄猿（ボルサリーノ）が使用する悪魔の実は何ですか？,ピカピカの実,メラメラの実,ヒエヒエの実,ゴロゴロの実,1,"黄猿はピカピカの実の能力者です。",2
赤犬（サカズキ）が使用する悪魔の実は何ですか？,マグマグの実,メラメラの実,ヒエヒエの実,ゴロゴロの実,1,"赤犬はマグマグの実の能力者です。",2
藤虎（イッショウ）が使用する能力は何ですか？,重力,光,氷,炎,1,"藤虎は重力を操る能力者です。",3
緑牛（アラマキ）が使用する能力は何ですか？,森羅万象,光,氷,炎,1,"緑牛は植物を操る能力者です。",3
CP9のロブ・ルッチが使用する悪魔の実は何ですか？,ネコネコの実 モデル"レオパルド",ウシウシの実 モデル"ジラフ",イヌイヌの実 モデル"ダックスフント",ゾウゾウの実,1,"ロブ・ルッチはネコネコの実 モデル"レオパルド"の能力者です。",3
クロコダイルが使用する悪魔の実は何ですか？,スナスナの実,メラメラの実,ピカピカの実,ヒエヒエの実,1,"クロコダイルはスナスナの実の能力者です。",2
エネルの異名は何ですか？,神,雷神,空の支配者,ゴッド,1,"エネルは自らを「神」と呼んでいます。",3
ドフラミンゴが使用する悪魔の実は何ですか？,イトイトの実,バラバラの実,マネマネの実,スベスベの実,1,"ドフラミンゴはイトイトの実の能力者です。",3
ローが使用する悪魔の実は何ですか？,オペオペの実,メロメロの実,グルグル野実,カゲカゲの実,1,"ローはオペオペの実の能力者です。",3
ハンコックが使用する悪魔の実は何ですか？,メロメロの実,オペオペの実,グルグル野実,カゲカゲの実,1,"ハンコックはメロメロの実の能力者です。",3
ゲッコー・モリアが使用する悪魔の実は何ですか？,カゲカゲの実,オペオペの実,メロメロの実,グルグル野実,1,"モリアはカゲカゲの実の能力者です。",3
くまが使用する悪魔の実は何ですか？,ニキュニキュの実,バクバクの実,ホビホビの実,シロシロの実,1,"くまはニキュニキュの実の能力者です。",3
フォクシーが使用する悪魔の実は何ですか？,ノロノロの実,バクバクの実,ホビホビの実,シロシロの実,1,"フォクシーはノロノロの実の能力者です。",3
Mr.2・ボン・クレーが使用する悪魔の実は何ですか？,マネマネの実,バクバクの実,ホビホビの実,シロシロの実,1,"Mr.2・ボン・クレーはマネマネの実の能力者です。",2
Wapolが使用する悪魔の実は何ですか？,バクバクの実,マネマネの実,ホビホビの実,シロシロの実,1,"Wapolはバクバクの実の能力者です。",3
シュガーが使用する悪魔の実は何ですか？,ホビホビの実,マネマネの実,バクバクの実,シロシロの実,1,"シュガーはホビホビの実の能力者です。",3
カポネ・ベッジが使用する悪魔の実は何ですか？,シロシロの実,マネマネの実,バクバクの実,ホビホビの実,1,"カポネ・ベッジはシロシロの実の能力者です。",3
ゼファー先生の腕の武器の名前は何ですか？,スマッシャー,アームストロング,アームドマスター,デストロイヤー,1,"ゼファー先生の腕の武器は「スマッシャー」です。",4
シキが使用する悪魔の実は何ですか？,フワフワの実,グラグラの実,ゴロゴロの実,メロメロの実,1,"シキはフワフワの実の能力者です。",4
ティーチが白ひげから奪った悪魔の実は何ですか？,グラグラの実,フワフワの実,ゴロゴロの実,メロメロの実,1,"ティーチはグラグラの実の能力を奪いました。",3
ホーキンスが使用する悪魔の実は何ですか？,ワラワラの実,フワフワの実,ゴロゴロの実,メロメロの実,1,"ホーキンスはワラワラの実の能力者です。",3
キッドが使用する悪魔の実は何ですか？,ジキジキの実,フワフワの実,ゴロゴロの実,メロメロの実,1,"キッドはジキジキの実の能力者です。",3
アプーが使用する悪魔の実は何ですか？,オンオンの実,フワフワの実,ゴロゴロの実,メロメロの実,1,"アプーはオンオンの実の能力者です。",3
ドレークが使用する悪魔の実は何ですか？,リュウリュウの実モデル"アロサウルス",フワフワの実,ゴロゴロの実,メロメロの実,1,"ドレークはリュウリュウの実モデル"アロサウルス"の能力者です。",3
ウルージが使用する悪魔の実は何ですか？,不明,フワフワの実,ゴロゴロの実,メロメロの実,1,"ウルージの悪魔の実は不明です。",4
ボニーが使用する悪魔の実は何ですか？,トシトシの実,フワフワの実,ゴロゴロの実,メロメロの実,1,"ボニーはトシトシの実の能力者です。",3
エンポリオ・イワンコフが使用する悪魔の実は何ですか？,ホルホルの実,ホルモンホルモンの実,エンポリオエンポリオの実,イワオワの実,1,"イワンコフはホルホルの実の能力者です。",3
イナズマが使用する悪魔の実は何ですか？,チョキチョキの実,ハサミハサミの実,クリクリの実,パチパチの実,1,"イナズマはチョキチョキの実の能力者です。",3
Mr.3が使用する悪魔の実は何ですか？,ドルドル実,ロウロウの実,ワックスワックスの実,ベタベタの実,1,"Mr.3はドルドル実の能力者です。",2
ミス・バレンタインが使用する悪魔の実は何ですか？,キロキロ実,トンネルトンネルの実,カメレオンカメレオンの実,スケスケの実,1,"ミス・バレンタインはキロキロ実の能力者です。",3
ミス・ゴールデンウィークが使用する能力は何ですか？,色の暗示,催眠術,幻術,分身,1,"ミス・ゴールデンウィークは色の暗示の能力者です。",4
ミス・ダブルフィンガーが使用する悪魔の実は何ですか？,トゲトゲの実,トゲトゲの実,イガイガの実,ハリハリの実,1,"ミス・ダブルフィンガーはトゲトゲの実の能力者です。",3
Dr.くれはが住んでいる島はどこですか？,ドラム王国,アラバスタ王国,ドレスローザ,ワノ国,1,"Dr.くれははドラム王国に住んでいます。",2
チョッパーが船医になったきっかけは何ですか？,Dr.ヒルルクとの出会い,ルフィの誘い,ゾロの説得,ナミの頼み,1,"チョッパーはDr.ヒルルクとの出会いを経て船医になりました。",2
空島でルフィが倒した神の名前は何ですか？,エネル,ガン・フォール,ワイパー,コニス,1,"空島でルフィは神エネルを倒しました。",2
ウォーターセブンでルフィ達が別れることになった船の名前は何ですか？,ゴーイングメリー号,サウザンドサニー号,レッドフォース号,モビーディック号,1,"ウォーターセブンでゴーイングメリー号は役目を終えました。",1
エニエス・ロビーでの戦いでルフィが初めて使ったギアは何ですか？,ギア2,ギア3,ギア4,ギア5,1,"エニエス・ロビーでルフィはギア2とギア3を初めて使用しました。",2
スリラーバークでゾロが受け止めたダメージは何ですか？,ルフィの疲労,くまの攻撃,モリアの影,オーズの攻撃,1,"スリラーバークでゾロはルフィの疲労を肩代わりしました。",3
シャボンディ諸島でルフィ達が引き離された原因は何ですか？,くまの能力,海軍大将の攻撃,天竜人とのトラブル,黒ひげの襲撃,1,"シャボンディ諸島でくまのニキュニキュの実の能力により、麦わらの一味は散り散りになりました。",2
マリンフォードでエースを救出するためにルフィが取った行動は何ですか？,インペルダウンからの脱獄,七武海との共闘,海軍本部への突入,黒ひげとの協力,1,"ルフィはエースを救うためにインペルダウンから脱獄しました。",2
2年間の修行期間、ルフィが修行した場所はどこですか？,女ヶ島,マリンフォード,インペルダウン,シャボンディ諸島,1,"ルフィは女ヶ島で修行しました。",2
2年間の修行期間、ゾロが修行した場所はどこですか？,シッケアール王国跡地,女ヶ島,マリンフォード,インペルダウン,1,"ゾロはシッケアール王国跡地でミホークに修行を受けました。",2
2年間の修行期間、サンジが修行した場所はどこですか？,オカマ王国,女ヶ島,マリンフォード,インペルダウン,1,"サンジはオカマ王国で修行しました。",2
2年間の修行期間、ナミが修行した場所はどこですか？,ウェザリア,女ヶ島,マリンフォード,インペルダウン,1,"ナミはウェザリアで修行しました。",2
2年間の修行期間、ウソップが修行した場所はどこですか？,ヘラクレスの森,女ヶ島,マリンフォード,インペルダウン,1,"ウソップはヘラクレスの森で修行しました。",2
2年間の修行期間、チョッパーが修行した場所はどこですか？,鳥の王国,女ヶ島,マリンフォード,インペルダウン,1,"チョッパーは鳥の王国で修行しました。",2
2年間の修行期間、ロビンが修行した場所はどこですか？,テキーラウルフ,女ヶ島,マリンフォード,インペルダウン,1,"ロビンはテキーラウルフで革命軍と行動を共にしました。",2
2年間の修行期間、フランキーが修行した場所はどこですか？,未来の国バルジモア,女ヶ島,マリンフォード,インペルダウン,1,"フランキーは未来の国バルジモアで修行しました。",2
2年間の修行期間、ブルックが修行した場所はどこですか？,貧困の国ハラヘッターニャ,女ヶ島,マリンフォード,インペルダウン,1,"ブルックは貧困の国ハラヘッターニャで修行しました。",2
新世界に入って最初に立ち寄った島はどこですか？,パンクハザード,魚人島,ドレスローザ,ワノ国,1,"新世界に入って最初に麦わらの一味は魚人島に上陸しました。",2
パンクハザードでルフィ達が遭遇した科学者の名前は何ですか？,シーザー・クラウン,ベガパンク,クイーン,ジャッジ,1,"パンクハザードでシーザー・クラウンと遭遇しました。",2
ドレスローザでルフィが倒した七武海の名前は何ですか？,ドンキホーテ・ドフラミンゴ,クロコダイル,ゲッコー・モリア,バーソロミュー・くま,1,"ドレスローザでルフィはドフラミンゴを倒しました。",2
ホールケーキアイランドでサンジが結婚を迫られた相手は誰ですか？,シャーロット・プリン,シャーロット・スムージー,シャーロット・カタクリ,シャーロット・リンリン,1,"サンジはシャーロット・プリンとの結婚を迫られました。",2
ワノ国でルフィ達が共闘した海賊団はどこですか？,ハートの海賊団,キッド海賊団,赤髪海賊団,黒ひげ海賊団,1,"ワノ国でルフィ達はハートの海賊団、キッド海賊団と共闘しました。",2
ワノ国でルフィが倒した四皇の名前は何ですか？,カイドウ,ビッグ・マム,シャンクス,黒ひげ,1,"ワノ国でルフィは百獣のカイドウを倒しました。",2
ワンピースの作者の名前は何ですか？,尾田栄一郎,鳥山明,岸本斉史,冨樫義博,1,"ワンピースの作者は尾田栄一郎先生です。",1
ワンピースが連載開始されたのはいつですか？,1997年,1999年,2001年,2003年,1,"ワンピースの連載開始は1997年です。",2
ルフィの好物は何ですか？,肉,魚,野菜,パン,1,"ルフィは肉が大好きです。",1
ゾロの好物は何ですか？,酒,肉,魚,野菜,1,"ゾロは酒と合うものが好物です。",1
サンジの好物は何ですか？,魚介類,肉,野菜,パン,1,"サンジは魚介類が好物です。",1
ナミの好物は何ですか？,みかん,肉,魚,野菜,1,"ナミはみかんが好物です。",1
ウソップの好物は何ですか？,魚,肉,野菜,パン,1,"ウソップは魚が好物です。",1
チョッパーの好物は何ですか？,綿あめ,肉,魚,野菜,1,"チョッパーは綿あめが好物です。",1
ロビンの好物は何ですか？,サンドイッチ,肉,魚,野菜,1,"ロビンはサンドイッチが好物です。",1
フランキーの好物は何ですか？,コーラ,肉,魚,野菜,1,"フランキーはコーラが好物です。",1
ブルックの好物は何ですか？,牛乳,肉,魚,野菜,1,"ブルックは牛乳が好物です。",1
ジンベエの好物は何ですか？,海藻,肉,魚,野菜,1,"ジンベエは海藻が好物です。",1
ルフィの懸賞金が初めて10億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ルフィの懸賞金は10億ベリーを超えました。",3
ゾロの懸賞金が初めて10億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ゾロの懸賞金は10億ベリーを超えました。",3
サンジの懸賞金が初めて10億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、サンジの懸賞金は10億ベリーを超えました。",3
ロビンの懸賞金が初めて1億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ロビンの懸賞金は1億ベリーを超えました。",3
フランキーの懸賞金が初めて1億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、フランキーの懸賞金は1億ベリーを超えました。",3
ブルックの懸賞金が初めて1億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ブルックの懸賞金は1億ベリーを超えました。",3
ウソップの懸賞金が初めて1億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ウソップの懸賞金は1億ベリーを超えました。",3
ナミの懸賞金が初めて1億ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、ナミの懸賞金は1億ベリーを超えました。",3
チョッパーの懸賞金が初めて1000ベリーを超えたのはいつですか？,ワノ国編後,ドレスローザ編後,ホールケーキアイランド編後,頂上戦争後,1,"ワノ国編後、チョッパーの懸賞金は1000ベリーを超えました。",3
ジンベエが正式に麦わらの一味に加入したのはいつですか？,ワノ国編,ホールケーキアイランド編,魚人島編,パンクハザード編,1,"ジンベエはホールケーキアイランド編で正式に麦わらの一味に加入しました。",2
四皇の一人であるビッグ・マムの名前は何ですか？,シャーロット・リンリン,カイドウ,シャンクス,マーシャル・D・ティーチ,1,"ビッグ・マムのフルネームはシャーロット・リンリンです。",2
四皇の一人であるカイドウの異名は何ですか？,百獣のカイドウ,世界の破壊者,最強の生物,竜王,1,"カイドウは「百獣のカイドウ」と呼ばれています。",2
四皇の一人であるシャンクスの異名は何ですか？,赤髪のシャンクス,世界の破壊者,最強の生物,竜王,1,"シャンクスは「赤髪のシャンクス」と呼ばれています。",1
四皇の一人である黒ひげの異名は何ですか？,闇のティーチ,世界の破壊者,最強の生物,竜王,1,"黒ひげは「闇のティーチ」とも呼ばれています。",2
世界政府の最高権力機関の名前は何ですか？,五老星,世界会議,海軍本部,サイファーポール,1,"世界政府の最高権力機関は五老星です。",3
海軍本部の最高戦力である「大将」の人数は何人ですか？,3人,4人,5人,2人,1,"海軍大将は通常3人です。",1
海軍大将の称号の一つである「青雉」の本名は何ですか？,クザン,サカズキ,ボルサリーノ,イッショウ,1,"青雉の本名はクザンです。",2
海軍大将の称号の一つである「赤犬」の本名は何ですか？,サカズキ,クザン,ボルサリーノ,イッショウ,1,"赤犬の本名はサカズキです。",2
海軍大将の称号の一つである「黄猿」の本名は何ですか？,ボルサリーノ,クザン,サカズキ,イッショウ,1,"黄猿の本名はボルサリーノです。",2
海軍大将の称号の一つである「藤虎」の本名は何ですか？,イッショウ,クザン,サカズキ,ボルサリーノ,1,"藤虎の本名はイッショウです。",3
海軍大将の称号の一つである「緑牛」の本名は何ですか？,アラマキ,クザン,サカズキ,ボルサリーノ,1,"緑牛の本名はアラマキです。",3
革命軍の総司令官の名前は何ですか？,モンキー・D・ドラゴン,サボ,エンポリオ・イワンコフ,バーソロミュー・くま,1,"革命軍の総司令官はモンキー・D・ドラゴンです。",2
革命軍の参謀総長の名前は何ですか？,サボ,モンキー・D・ドラゴン,エンポリオ・イワンコフ,バーソロミュー・くま,1,"革命軍の参謀総長はサボです。",2
魚人島で起こった事件の名前は何ですか？,新魚人海賊団事件,魚人島クーデター,魚人島襲撃事件,魚人島解放戦争,1,"魚人島では新魚人海賊団による事件が起こりました。",2
ドレスローザでルフィ達が戦ったドフラミンゴのファミリーの名前は何ですか？,ドンキホーテファミリー,ドンキホーテ海賊団,ドンキホーテ革命軍,ドンキホーテ王国,1,"ドレスローザでルフィ達はドンキホーテファミリーと戦いました。",2
ホールケーキアイランドでサンジを連れ戻すためにルフィ達が侵入した場所はどこですか？,ビッグ・マムの本拠地,海軍本部,インペルダウン,エニエス・ロビー,1,"ホールケーキアイランドはビッグ・マムの本拠地です。",2
ワノ国でルフィ達が同盟を組んだ目的は何ですか？,カイドウ討伐,海軍本部打倒,世界政府転覆,ワンピースの発見,1,"ワノ国での同盟の目的はカイドウ討伐でした。",2
