大分類,中分類,小分類,問題ID,問題本文,選択肢1,選択肢2,選択肢3,選択肢4,回答の選択肢番号,回答の解説,難易度
漫画,ジョジョの奇妙な冒険,登場人物,JOJO001,第1部の主人公の名前は？,ジョナサン・ジョースター,ジョセフ・ジョースター,空条承太郎,東方仗助,1,第1部の主人公はジョナサン・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO002,第1部と第2部で主要な能力として登場する、太陽のエネルギーを操る呼吸法は何？,波紋,スタンド,吸血鬼,幽波紋,1,太陽のエネルギーを操る呼吸法は「波紋」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO003,第1部のラスボスで、ジョースター家の宿敵となるのは誰？,ディオ・ブランドー,カーズ,DIO,吉良吉影,1,第1部のラスボスはディオ・ブランドーです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO004,ディオ・ブランドーが石仮面を使って手に入れた能力は何？,吸血鬼,波紋,スタンド,幽波紋,1,ディオが石仮面で手に入れた能力は「吸血鬼」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO005,波紋の修行に使われる、水を入れた特殊な容器は何？,波紋呼吸法,波紋水,波紋の修練器,波紋の鍛錬具,3,波紋の修行に使われるのは「波紋の修練器」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO006,第2部の主人公で、ひょうきんな性格の波紋使いは誰？,ジョセフ・ジョースター,ジョナサン・ジョースター,空条承太郎,東方仗助,1,第2部の主人公はジョセフ・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO007,第3部以降で登場する、精神エネルギーが具現化した能力を何と呼ぶ？,スタンド,波紋,吸血鬼,幽波紋,1,精神エネルギーが具現化した能力は「スタンド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO008,第3部の主人公で、クールな性格の高校生は誰？,空条承太郎,ジョセフ・ジョースター,東方仗助,ジョルノ・ジョバァーナ,1,第3部の主人公は空条承太郎です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO009,空条承太郎のスタンドの名前は？,スタープラチナ,ハーミットパープル,ザ・ワールド,クレイジー・ダイヤモンド,1,空条承太郎のスタンドは「スタープラチナ」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO010,スタンド使いが弓矢によってスタンド能力に目覚める道具は何？,弓と矢,スタンドの矢,スタンド使いの矢,能力の矢,2,スタンド能力に目覚める道具は「スタンドの矢」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO011,第3部のラスボスで、ジョースター家の宿敵DIOの名前は？,DIO,ディオ・ブランドー,カーズ,吉良吉影,1,第3部のラスボスはDIOです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO012,DIOのスタンドの名前は？,ザ・ワールド,スタープラチナ,ハーミットパープル,クレイジー・ダイヤモンド,1,DIOのスタンドは「ザ・ワールド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO013,第4部の主人公で、杜王町の高校生は誰？,東方仗助,空条承太郎,ジョルノ・ジョバァーナ,徐倫,1,第4部の主人公は東方仗助です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO014,東方仗助のスタンドの名前は？,クレイジー・ダイヤモンド,スタープラチナ,ハーミットパープル,ザ・ハンド,1,東方仗助のスタンドは「クレイジー・ダイヤモンド」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO015,第4部の舞台となる架空の都市の名前は？,杜王町,ネアポリス,カメオ,ジョースター邸,1,第4部の舞台は「杜王町」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO016,第4部のラスボスで、杜王町に潜む殺人鬼は誰？,吉良吉影,ディオ・ブランドー,カーズ,DIO,1,第4部のラスボスは吉良吉影です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO017,吉良吉影のスタンドの名前は？,キラークイーン,ハーヴェスト,エコーズ,ヘブンズ・ドアー,1,吉良吉影のスタンドは「キラークイーン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO018,第5部の主人公で、ギャングスターを目指す少年は誰？,ジョルノ・ジョバァーナ,東方仗助,空条承太郎,徐倫,1,第5部の主人公はジョルノ・ジョバァーナです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO019,ジョルノ・ジョバァーナのスタンドの名前は？,ゴールド・エクスペリエンス,キング・クリムゾン,スティッキー・フィンガーズ,パープル・ヘイズ,1,ジョルノ・ジョバァーナのスタンドは「ゴールド・エクスペリエンス」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO020,第5部の舞台となる国はどこ？,イタリア,エジプト,日本,アメリカ,1,第5部の舞台は「イタリア」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO021,第5部のラスボスで、ギャング組織「パッショーネ」のボスは誰？,ディアボロ,ブローノ・ブチャラティ,レオーネ・アバッキオ,グイード・ミスタ,1,第5部のラスボスはディアボロです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO022,ディアボロのスタンドの名前は？,キング・クリムゾン,ゴールド・エクスペリエンス,スティッキー・フィンガーズ,パープル・ヘイズ,1,ディアボロのスタンドは「キング・クリムゾン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO023,第6部の主人公で、空条承太郎の娘は誰？,空条徐倫,ジョルノ・ジョバァーナ,東方仗助,ジョセフ・ジョースター,1,第6部の主人公は空条徐倫です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO024,空条徐倫のスタンドの名前は？,ストーン・フリー,ホワイトスネイク,C-MOON,メイド・イン・ヘブン,1,空条徐倫のスタンドは「ストーン・フリー」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO025,第6部の舞台となる刑務所の名前は？,グリーン・ドルフィン・ストリート刑務所,アバカンド刑務所,自由の地刑務所,ストーンオーシャン刑務所,1,第6部の舞台は「グリーン・ドルフィン・ストリート刑務所」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO026,第6部のラスボスで、DIOを崇拝する神父は誰？,エンリコ・プッチ,DIO,ディアボロ,吉良吉影,1,第6部のラスボスはエンリコ・プッチです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO027,エンリコ・プッチのスタンドの最終形態の名前は？,メイド・イン・ヘブン,ホワイトスネイク,C-MOON,グリーンドルフィン,1,エンリコ・プッチのスタンドの最終形態は「メイド・イン・ヘブン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO028,第7部の主人公で、ジョッキーの少年は誰？,ジョニィ・ジョースター,ジャイロ・ツェペリ,空条承太郎,東方仗助,1,第7部の主人公はジョニィ・ジョースターです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO029,ジョニィ・ジョースターのスタンドの名前は？,タスク,ボール・ブレイカー,スティール・ボール・ラン,回転,1,ジョニィ・ジョースターのスタンドは「タスク」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO030,第7部の舞台となるアメリカ大陸横断レースの名前は？,スティール・ボール・ラン,ジョジョラン,アメリカン・レース,大陸横断レース,1,第7部の舞台は「スティール・ボール・ラン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO031,第7部でジョニィの相棒となる、鉄球を操る男は誰？,ジャイロ・ツェペリ,ディエゴ・ブランドー,ファニー・ヴァレンタイン,ルーシー・スティール,1,ジョニィの相棒はジャイロ・ツェペリです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO032,ジャイロ・ツェペリの鉄球の技術を何と呼ぶ？,回転,鉄球術,鋼球術,ボール・ブレイカー,1,ジャイロの鉄球の技術は「回転」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO033,第7部のラスボスで、アメリカ合衆国大統領は誰？,ファニー・ヴァレンタイン,ディエゴ・ブランドー,ジャイロ・ツェペリ,ジョニィ・ジョースター,1,第7部のラスボスはファニー・ヴァレンタインです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO034,ファニー・ヴァレンタインのスタンドの名前は？,ダーティ・ディーズ・ダン・ダート・チープ,タスク,ボール・ブレイカー,スティール・ボール・ラン,1,ファニー・ヴァレンタインのスタンドは「ダーティ・ディーズ・ダン・ダート・チープ（D4C）」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO035,第8部の主人公で、記憶喪失の男は誰？,東方定助,ジョニィ・ジョースター,ジョルノ・ジョバァーナ,空条承太郎,1,第8部の主人公は東方定助です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO036,東方定助のスタンドの名前は？,ソフト＆ウェット,ワンダー・オブ・U,ペイズリー・パーク,ドリーム・ア・リトル・ドリーム,1,東方定助のスタンドは「ソフト＆ウェット」です。,1
漫画,ジョジョの奇妙な冒険,用語,JOJO037,第8部の舞台となる杜王町に突如現れた謎の隆起を何と呼ぶ？,壁の目,杜王町の目,大地の目,地震の目,1,杜王町に突如現れた謎の隆起は「壁の目」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO038,第8部のラスボスで、岩人間の一員は誰？,透龍,プッチ,ディアボロ,吉良吉影,1,第8部のラスボスは透龍です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO039,透龍のスタンドの名前は？,ワンダー・オブ・U,ソフト＆ウェット,ペイズリー・パーク,ドリーム・ア・リトル・ドリーム,1,透龍のスタンドは「ワンダー・オブ・U」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO040,第3部で承太郎たちと旅をする、エジプト人の占い師は誰？,モハメド・アヴドゥル,花京院典明,ジャン＝ピエール・ポルナレフ,イギー,1,承太郎たちと旅をするエジプト人の占い師はモハメド・アヴドゥルです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO041,モハメド・アヴドゥルのスタンドの名前は？,マジシャンズ・レッド,ハーミットパープル,スタープラチナ,チャリオッツ,1,モハメド・アヴドゥルのスタンドは「マジシャンズ・レッド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO042,第3部で承太郎たちと旅をする、転校生の学生は誰？,花京院典明,モハメド・アヴドゥル,ジャン＝ピエール・ポルナレフ,イギー,1,承太郎たちと旅をする転校生の学生は花京院典明です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO043,花京院典明のスタンドの名前は？,ハイエロファントグリーン,マジシャンズ・レッド,チャリオッツ,ザ・フール,1,花京院典明のスタンドは「ハイエロファントグリーン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO044,第3部で承太郎たちと旅をする、フランス人の剣士は誰？,ジャン＝ピエール・ポルナレフ,モハメド・アヴドゥル,花京院典明,イギー,1,承太郎たちと旅をするフランス人の剣士はジャン＝ピエール・ポルナレフです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO045,ジャン＝ピエール・ポルナレフのスタンドの名前は？,シルバーチャリオッツ,ハイエロファントグリーン,マジシャンズ・レッド,ザ・フール,1,ジャン＝ピエール・ポルナレフのスタンドは「シルバーチャリオッツ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO046,第3部で承太郎たちと旅をする、ボストンテリアのスタンド使いは誰？,イギー,ペット・ショップ,クリーム,ホル・ホース,1,承太郎たちと旅をするボストンテリアのスタンド使いはイギーです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO047,イギーのスタンドの名前は？,ザ・フール,シルバーチャリオッツ,ハイエロファントグリーン,マジシャンズ・レッド,1,イギーのスタンドは「ザ・フール」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO048,第4部で東方仗助と行動を共にする、漫画家の少年は誰？,岸辺露伴,広瀬康一,虹村億泰,音石明,1,東方仗助と行動を共にする漫画家の少年は岸辺露伴です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO049,岸辺露伴のスタンドの名前は？,ヘブンズ・ドアー,エコーズ,ザ・ハンド,レッド・ホット・チリ・ペッパー,1,岸辺露伴のスタンドは「ヘブンズ・ドアー」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO050,第4部で東方仗助と行動を共にする、スタンドに目覚めた少年は誰？,広瀬康一,岸辺露伴,虹村億泰,音石明,1,東方仗助と行動を共にするスタンドに目覚めた少年は広瀬康一です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO051,広瀬康一のスタンドの最終形態の名前は？,エコーズACT3,エコーズACT1,エコーズACT2,エコーズACT4,1,広瀬康一のスタンドの最終形態は「エコーズACT3」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO052,第4部で東方仗助と行動を共にする、荒っぽい性格の少年は誰？,虹村億泰,岸辺露伴,広瀬康一,音石明,1,東方仗助と行動を共にする荒っぽい性格の少年は虹村億泰です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO053,虹村億泰のスタンドの名前は？,ザ・ハンド,エコーズ,ヘブンズ・ドアー,レッド・ホット・チリ・ペッパー,1,虹村億泰のスタンドは「ザ・ハンド」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO054,第4部で承太郎たちが追う、電気を操るスタンド使いは誰？,音石明,吉良吉影,アンジェロ,噴上裕也,1,承太郎たちが追う電気を操るスタンド使いは音石明です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO055,音石明のスタンドの名前は？,レッド・ホット・チリ・ペッパー,ザ・ハンド,エコーズ,ヘブンズ・ドアー,1,音石明のスタンドは「レッド・ホット・チリ・ペッパー」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO056,第5部でジョルノの仲間となる、ジッパーのスタンド使いは誰？,ブローノ・ブチャラティ,レオーネ・アバッキオ,グイード・ミスタ,ナランチャ・ギルガ,1,ジョルノの仲間となるジッパーのスタンド使いはブローノ・ブチャラティです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO057,ブローノ・ブチャラティのスタンドの名前は？,スティッキー・フィンガーズ,エアロスミス,セックス・ピストルズ,パープル・ヘイズ,1,ブローノ・ブチャラティのスタンドは「スティッキー・フィンガーズ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO058,第5部でジョルノの仲間となる、元警官のスタンド使いは誰？,レオーネ・アバッキオ,ブローノ・ブチャラティ,グイード・ミスタ,ナランチャ・ギルガ,1,ジョルノの仲間となる元警官のスタンド使いはレオーネ・アバッキオです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO059,レオーネ・アバッキオのスタンドの名前は？,ムーディー・ブルース,スティッキー・フィンガーズ,エアロスミス,セックス・ピストルズ,1,レオーネ・アバッキオのスタンドは「ムーディー・ブルース」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO060,第5部でジョルノの仲間となる、銃を操るスタンド使いは誰？,グイード・ミスタ,ブローノ・ブチャラティ,レオーネ・アバッキオ,ナランチャ・ギルガ,1,ジョルノの仲間となる銃を操るスタンド使いはグイード・ミスタです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO061,グイード・ミスタのスタンドの名前は？,セックス・ピストルズ,ムーディー・ブルース,スティッキー・フィンガーズ,エアロスミス,1,グイード・ミスタのスタンドは「セックス・ピストルズ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO062,第5部でジョルノの仲間となる、飛行機のスタンド使いは誰？,ナランチャ・ギルガ,ブローノ・ブチャラティ,レオーネ・アバッキオ,グイード・ミスタ,1,ジョルノの仲間となる飛行機のスタンド使いはナランチャ・ギルガです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO063,ナランチャ・ギルガのスタンドの名前は？,エアロスミス,セックス・ピストルズ,ムーディー・ブルース,スティッキー・フィンガーズ,1,ナランチャ・ギルガのスタンドは「エアロスミス」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO064,第5部でジョルノの仲間となる、毒のスタンド使いは誰？,フーゴ・パンナコッタ,ブローノ・ブチャラティ,レオーネ・アバッキオ,グイード・ミスタ,1,ジョルノの仲間となる毒のスタンド使いはフーゴ・パンナコッタです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO065,フーゴ・パンナコッタのスタンドの名前は？,パープル・ヘイズ,エアロスミス,セックス・ピストルズ,ムーディー・ブルース,1,フーゴ・パンナコッタのスタンドは「パープル・ヘイズ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO066,第6部で徐倫の仲間となる、記憶ディスクのスタンド使いは誰？,エルメェス・コステロ,フー・ファイターズ,ウェザー・リポート,ナルシソ・アナスイ,1,徐倫の仲間となる記憶ディスクのスタンド使いはエルメェス・コステロです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO067,エルメェス・コステロのスタンドの名前は？,キッス,グー・グー・ドールズ,プラント・ロッカー,ダイバー・ダウン,1,エルメェス・コステロのスタンドは「キッス」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO068,第6部で徐倫の仲間となる、プランクトンのスタンド使いは誰？,フー・ファイターズ,エルメェス・コステロ,ウェザー・リポート,ナルシソ・アナスイ,1,徐倫の仲間となるプランクトンのスタンド使いはフー・ファイターズです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO069,フー・ファイターズのスタンドの名前は？,フー・ファイターズ,キッス,グー・グー・ドールズ,プラント・ロッカー,1,フー・ファイターズのスタンドは「フー・ファイターズ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO070,第6部で徐倫の仲間となる、気象を操るスタンド使いは誰？,ウェザー・リポート,エルメェス・コステロ,フー・ファイターズ,ナルシソ・アナスイ,1,徐倫の仲間となる気象を操るスタンド使いはウェザー・リポートです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO071,ウェザー・リポートのスタンドの名前は？,ウェザー・リポート,キッス,グー・グー・ドールズ,プラント・ロッカー,1,ウェザー・リポートのスタンドは「ウェザー・リポート」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO072,第6部で徐倫の仲間となる、分解能力のスタンド使いは誰？,ナルシソ・アナスイ,エルメェス・コステロ,フー・ファイターズ,ウェザー・リポート,1,徐倫の仲間となる分解能力のスタンド使いはナルシソ・アナスイです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO073,ナルシソ・アナスイのスタンドの名前は？,ダイバー・ダウン,キッス,グー・グー・ドールズ,プラント・ロッカー,1,ナルシソ・アナスイのスタンドは「ダイバー・ダウン」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO074,第7部でジョニィたちと敵対する、恐竜を操るスタンド使いは誰？,ディエゴ・ブランドー,ファニー・ヴァレンタイン,ジャイロ・ツェペリ,ルーシー・スティール,1,ジョニィたちと敵対する恐竜を操るスタンド使いはディエゴ・ブランドーです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO075,ディエゴ・ブランドーのスタンドの名前は？,スケアリー・モンスターズ,タスク,ボール・ブレイカー,スティール・ボール・ラン,1,ディエゴ・ブランドーのスタンドは「スケアリー・モンスターズ」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO076,第7部でジョニィたちと敵対する、体を小さくするスタンド使いは誰？,リンゴォ・ロードアゲイン,ディエゴ・ブランドー,ファニー・ヴァレンタイン,ジャイロ・ツェペリ,1,ジョニィたちと敵対する体を小さくするスタンド使いはリンゴォ・ロードアゲインです。,2
漫画,ジョジョの奇妙な冒険,能力,JOJO077,リンゴォ・ロードアゲインのスタンドの名前は？,マンダム,スケアリー・モンスターズ,タスク,ボール・ブレイカー,1,リンゴォ・ロードアゲインのスタンドは「マンダム」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO078,第8部で東方定助と行動を共にする、記憶喪失の女性は誰？,広瀬康穂,東方花都,虹村京,東方常敏,1,東方定助と行動を共にする記憶喪失の女性は広瀬康穂です。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO079,広瀬康穂のスタンドの名前は？,ペイズリー・パーク,ソフト＆ウェット,ワンダー・オブ・U,ドリーム・ア・リトル・ドリーム,1,広瀬康穂のスタンドは「ペイズリー・パーク」です。,1
漫画,ジョジョの奇妙な冒険,登場人物,JOJO080,第8部で東方定助と行動を共にする、岩人間の医師は誰？,羽伴毅,透龍,豆銑礼,プッチ,1,東方定助と行動を共にする岩人間の医師は羽伴毅です。,2
漫画,ジョジョの奇妙な冒険,能力,JOJO081,羽伴毅のスタンドの名前は？,ドクター・フェルナンデス,ワンダー・オブ・U,ソフト＆ウェット,ペイズリー・パーク,1,羽伴毅のスタンドは「ドクター・フェルナンデス」です。,3
漫画,ジョジョの奇妙な冒険,登場人物,JOJO082,第8部で東方定助と行動を共にする、果実の鑑定士は誰？,豆銑礼,透龍,羽伴毅,東方常敏,1,東方定助と行動を共にする果実の鑑定士は豆銑礼です。,2
漫画,ジョジョの奇妙な冒険,能力,JOJO083,豆銑礼のスタンドの名前は？,ドゥービー・ワウ!,ソフト＆ウェット,ワンダー・オブ・U,ペイズリー・パーク,1,豆銑礼のスタンドは「ドゥービー・ワウ!」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO084,第2部でジョセフと敵対する、柱の男の一員で、太陽を克服しようとするのは誰？,カーズ,エシディシ,ワムウ,サンタナ,1,太陽を克服しようとするのはカーズです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO085,カーズの能力で、あらゆる生物の能力を再現する能力は何？,究極生命体,生物模倣,生物変化,生物操作,1,あらゆる生物の能力を再現するのは「究極生命体」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO086,第2部でジョセフと敵対する、柱の男の一員で、感情的な性格なのは誰？,エシディシ,カーズ,ワムウ,サンタナ,1,感情的な性格なのはエシディシです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO087,エシディシの能力で、体温を自在に操り、血管から熱を放出する能力は何？,怪焔王の流法,熱血の流法,炎の流法,熱波の流法,1,体温を自在に操り、血管から熱を放出するのは「怪焔王の流法」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO088,第2部でジョセフと敵対する、柱の男の一員で、戦士としての誇りを持つのは誰？,ワムウ,カーズ,エシディシ,サンタナ,1,戦士としての誇りを持つのはワムウです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO089,ワムウの能力で、体内に空気を溜め込み、それを放出することで攻撃する能力は何？,神砂嵐,風の流法,大気の流法,真空の流法,1,体内に空気を溜め込み、放出することで攻撃するのは「神砂嵐」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO090,第2部でジョセフと敵対する、柱の男の一員で、感情を持たないのは誰？,サンタナ,カーズ,エシディシ,ワムウ,1,感情を持たないのはサンタナです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO091,サンタナの能力で、体を自在に液状化させて狭い隙間を通り抜ける能力は何？,流体化,液状化,体液操作,軟体化,1,体を自在に液状化させて狭い隙間を通り抜けるのは「流体化」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO092,第1部でジョナサンと敵対する、ゾンビ軍団を率いる騎士は誰？,ブラフォード,タルカス,ワンチェン,スピードワゴン,1,ゾンビ軍団を率いる騎士はブラフォードです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO093,ブラフォードの能力で、髪の毛を操り、相手を拘束する能力は何？,黒の執刀,髪の毛操作,毛髪操作,髪の毛術,1,髪の毛を操り、相手を拘束するのは「黒の執刀」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO094,第1部でジョナサンと敵対する、もう一人のゾンビ騎士は誰？,タルカス,ブラフォード,ワンチェン,スピードワゴン,1,もう一人のゾンビ騎士はタルカスです。,1
漫画,ジョジョの奇妙な冒妙,能力,JOJO095,タルカスの能力で、全身の筋肉を膨張させ、怪力で攻撃する能力は何？,怪力の流法,筋肉増強,肉体強化,超怪力,1,全身の筋肉を膨張させ、怪力で攻撃するのは「怪力の流法」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO096,第1部でディオに仕える、中国人のゾンビは誰？,ワンチェン,ブラフォード,タルカス,スピードワゴン,1,ディオに仕える中国人のゾンビはワンチェンです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO097,ワンチェンの能力で、ゾンビを操る能力は何？,ゾンビ操術,死体操作,屍体制御,死霊術,1,ゾンビを操る能力は「ゾンビ操術」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO098,第1部でジョナサンを助ける、解説役の男は誰？,ロバート・E・O・スピードワゴン,ツェペリ,ダイアー,ストレイツォ,1,ジョナサンを助ける解説役の男はロバート・E・O・スピードワゴンです。,1
漫画,ジョジョの奇妙な冒険,能力,JOJO099,ロバート・E・O・スピードワゴンの能力で、帽子の中に隠し持った刃を操る能力は何？,ハットブレード,帽子の刃,帽子術,刃物使い,1,帽子の中に隠し持った刃を操る能力は「ハットブレード」です。,2
漫画,ジョジョの奇妙な冒険,登場人物,JOJO100,第2部でジョセフの師匠となる、女性の波紋使いは誰？,リサリサ,エリザベス,スージーQ,東方朋子,1,ジョセフの師匠となる女性の波紋使いはリサリサです。,1
